Stage,Module,Node_ID,Node_Name,Weight_Shape,Sx,Sw,Sy,Sw_x_Sx_div_Sy (M_float),M_mult_dyn,M_shift_dyn,Rel_Err_Dyn_%,M_mult_16,M_shift_16,Rel_Err_16_%,Bias_Scale,DRAM1_Weight_Start,DRAM1_Weight_End,DRAM1_Bias_Start,DRAM1_Bias_End,DRAM2_OFM_Start,DRAM2_OFM_End
neck,module_17_conv,214,/model.17/conv/Conv,"[64, 64, 3, 3]",3.82189525e-02,3.99423725e-03,4.67663262e-02,3.26421971e-03,54765,24,0.000878,214,16,0.035572,1.52655564e-04,1514670,1551533,1551534,1551597,47321600,47423999
head,module_23_detect,215,/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv,"[16, 64, 3, 3]",3.82189525e-02,8.37818469e-03,1.02175337e-01,3.13388193e-03,52578,24,0.000354,205,16,0.186037,3.20205443e-04,1551598,1560813,1560814,1560829,47424000,47526399
head,module_23_detect,216,/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv,"[64, 1, 3, 3]",3.82189525e-02,5.71627241e-02,9.82786764e-02,2.22296384e-02,46619,21,0.000149,1457,16,0.010874,2.18469944e-03,1560830,1561405,1561406,1561469,47526400,47935999
head,module_23_detect,224,/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv,"[16, 16, 3, 3]",1.02175097e-01,2.75410418e-03,7.42256059e-02,3.79115614e-03,63605,24,0.000071,248,16,0.184019,2.81400862e-04,1561470,1563773,1563774,1563789,49472000,49574399
head,module_23_detect,225,/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv,"[64, 64, 1, 1]",9.82783010e-02,4.07997079e-03,5.00917510e-02,8.00476304e-03,33574,22,0.001220,525,16,0.076220,4.00972597e-04,1563790,1567885,1567886,1567949,49574400,49983999
neck,module_19_c3k2,226,/model.19/cv1/conv/Conv,"[128, 192, 1, 1]",4.66434749e-02,8.30109382e-03,6.76865841e-02,5.72036345e-03,47986,23,0.000236,375,16,0.029412,3.87191861e-04,1567950,1592525,1592526,1592653,49984000,50188799
head,module_23_detect,233,/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv,"[4, 16, 1, 1]",3.41648342e-02,1.13035187e-02,3.78526440e-02,1.02022686e-02,42791,22,0.000972,669,16,0.057450,3.86182842e-04,1592654,1592717,1592718,1592721,51622400,51647999
head,module_23_detect,234,/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv,"[64, 1, 3, 3]",4.70945291e-02,5.50593279e-02,1.29125971e-01,2.00811123e-02,42113,21,0.000344,1316,16,0.002718,2.59299312e-03,1592722,1593297,1593298,1593361,51648000,52057599
neck,module_19_c3k2,238,/model.19/m.0/cv1/conv/Conv,"[32, 64, 1, 1]",5.50659623e-02,4.07874396e-03,3.45535466e-02,6.50005523e-03,54526,23,0.000762,426,16,0.002906,2.24599961e-04,1593367,1595414,1595415,1595446,52595200,52646399
neck,module_19_c3k2,239,/model.19/m.0/cv2/conv/Conv,"[32, 64, 1, 1]",5.50659623e-02,8.91577165e-03,7.00439844e-02,7.00924640e-03,58798,23,0.000305,459,16,0.077929,4.90955545e-04,1595447,1597494,1597495,1597526,52646400,52697599
head,module_23_detect,243,/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv,"[64, 64, 1, 1]",9.46874769e-02,8.91623910e-03,1.01812280e-01,8.29228245e-03,34780,22,0.001016,543,16,0.081521,8.44256184e-04,1597527,1601622,1601623,1601686,53209600,53619199
neck,module_19_c3k2,247,/model.19/m.0/m/m.0/cv1/conv/Conv,"[32, 32, 3, 3]",1.78513489e-02,1.95949078e-02,5.20708580e-02,6.71768335e-03,56352,23,0.000022,440,16,0.056808,3.49795536e-04,1601687,1610902,1610903,1610934,54131200,54182399
head,module_23_detect,250,/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv,"[1, 64, 1, 1]",1.01812032e-01,5.31342274e-03,3.37114349e-01,1.60470881e-03,53845,25,0.000172,105,16,0.158033,5.40970367e-04,1610935,1610998,1610999,1610999,54643200,54649599
neck,module_19_c3k2,253,/model.19/m.0/m/m.0/cv2/conv/Conv,"[32, 32, 3, 3]",3.43459310e-02,6.53821465e-03,4.78545850e-02,4.69257165e-03,39364,23,0.000366,308,16,0.152057,2.24561069e-04,1611003,1620218,1620219,1620250,54707200,54758399
